modelID pcons proq4 qmeanDisCo seqlen dan
DP00107r001_2 0.434 0.244 0.37 35 0.35200000000000004
DP00107r001_5 0.422 0.226 0.403 35 0.36200000000000004
DP00107r001_1 0.364 0.181 0.41 35 0.37799999999999995
DP00110r001_5 0.579 0.214 0.642 37 0.611
DP00110r001_3 0.685 0.189 0.7140000000000001 37 0.6659999999999999
DP00110r001_2 0.685 0.187 0.7390000000000001 37 0.65
DP00110r001_1 0.603 0.196 0.632 37 0.644
DP00110r001_4 0.606 0.199 0.527 37 0.716
DP00118r001_3 0.097 0.298 0.387 449 0.17800000000000002
DP00118r001_1 0.126 0.292 0.371 449 0.218
DP00118r001_5 0.122 0.301 0.375 449 0.223
DP00118r001_2 0.123 0.282 0.391 449 0.24
DP00118r001_4 0.114 0.293 0.415 449 0.171
DP00119r001_4 0.7070000000000001 0.363 0.422 294 0.23
DP00119r001_3 0.723 0.35700000000000004 0.421 294 0.22899999999999998
DP00119r001_1 0.703 0.3720000000000001 0.512 294 0.24100000000000002
DP00119r001_5 0.6829999999999999 0.344 0.269 294 0.249
DP00119r001_2 0.7140000000000001 0.36 0.467 294 0.239
DP00120r001_5 0.147 0.315 0.494 136 0.289
DP00120r001_4 0.277 0.278 0.409 136 0.33399999999999996
DP00120r001_1 0.311 0.28 0.343 136 0.335
DP00120r001_3 0.331 0.244 0.32 136 0.33799999999999997
DP00120r001_2 0.324 0.303 0.335 136 0.32299999999999995
DP00122r001_3 0.3 0.245 0.373 135 0.318
DP00122r001_1 0.317 0.256 0.35700000000000004 135 0.345
DP00122r001_4 0.313 0.287 0.366 135 0.363
DP00122r001_5 0.276 0.244 0.408 135 0.28300000000000003
DP00122r001_2 0.282 0.259 0.402 135 0.335
DP00122r003_4 0.138 0.277 0.448 170 0.256
DP00122r003_3 0.139 0.24 0.353 170 0.24600000000000002
DP00122r003_2 0.155 0.179 0.362 170 0.289
DP00122r003_1 0.163 0.213 0.336 170 0.249
DP00122r003_5 0.147 0.202 0.369 170 0.24600000000000002
DP00122r005_4 0.203 0.268 0.345 162 0.284
DP00122r005_3 0.145 0.245 0.407 162 0.306
DP00122r005_5 0.21600000000000005 0.252 0.264 162 0.322
DP00122r005_2 0.16399999999999998 0.263 0.289 162 0.298
DP00122r005_1 0.203 0.31 0.467 162 0.276
DP00134r004_2 0.181 0.309 0.408 117 0.3
DP00134r004_4 0.18600000000000005 0.294 0.444 117 0.317
DP00134r004_5 0.23 0.303 0.447 117 0.302
DP00134r004_1 0.175 0.306 0.35700000000000004 117 0.292
DP00134r004_3 0.237 0.29600000000000004 0.393 117 0.318
DP00135r001_4 0.28300000000000003 0.302 0.3720000000000001 167 0.285
DP00135r001_5 0.304 0.335 0.34600000000000003 167 0.293
DP00135r001_1 0.201 0.31 0.28600000000000003 167 0.28300000000000003
DP00135r001_3 0.227 0.28800000000000003 0.31 167 0.304
DP00135r001_2 0.294 0.316 0.25 167 0.278
DP00144r008_3 0.407 0.241 0.324 79 0.418
DP00144r008_5 0.408 0.194 0.363 79 0.41200000000000003
DP00144r008_4 0.33 0.226 0.471 79 0.41
DP00144r008_1 0.428 0.267 0.371 79 0.418
DP00144r008_2 0.3720000000000001 0.201 0.34600000000000003 79 0.42200000000000004
DP00148r001_4 0.596 0.426 0.496 55 0.505
DP00148r001_5 0.581 0.424 0.499 55 0.564
DP00148r001_3 0.491 0.4270000000000001 0.494 55 0.5479999999999999
DP00148r001_1 0.474 0.436 0.479 55 0.5920000000000001
DP00148r001_2 0.5720000000000001 0.464 0.489 55 0.5
DP00152r008_4 0.208 0.192 0.404 63 0.33799999999999997
DP00152r008_2 0.265 0.245 0.454 63 0.368
DP00152r008_5 0.275 0.138 0.504 63 0.524
DP00152r008_3 0.292 0.174 0.519 63 0.38799999999999996
DP00152r008_1 0.315 0.153 0.491 63 0.33799999999999997
DP00156r001_2 0.244 0.14400000000000002 0.373 82 0.32799999999999996
DP00156r001_3 0.192 0.166 0.445 82 0.28600000000000003
DP00156r001_1 0.251 0.14800000000000002 0.331 82 0.32799999999999996
DP00156r001_4 0.284 0.156 0.304 82 0.34299999999999997
DP00156r001_5 0.279 0.16399999999999998 0.381 82 0.32299999999999995
DP00156r005_1 0.48 0.124 0.312 34 0.39799999999999996
DP00156r005_3 0.609 0.135 0.362 34 0.466
DP00156r005_4 0.393 0.145 0.434 34 0.44
DP00156r005_5 0.461 0.149 0.386 34 0.507
DP00156r005_2 0.607 0.131 0.37 34 0.483
DP00157r013_2 0.413 0.255 0.344 88 0.33799999999999997
DP00157r013_3 0.448 0.278 0.327 88 0.31
DP00157r013_4 0.43 0.281 0.342 88 0.307
DP00157r013_1 0.278 0.246 0.35100000000000003 88 0.345
DP00157r013_5 0.463 0.294 0.341 88 0.34
DP00159r017_5 0.221 0.32299999999999995 0.501 153 0.281
DP00159r017_1 0.336 0.295 0.484 153 0.272
DP00159r017_2 0.354 0.285 0.48 153 0.273
DP00159r017_4 0.338 0.306 0.528 153 0.293
DP00159r017_3 0.233 0.306 0.482 153 0.27699999999999997
DP00168r001_3 0.5870000000000001 0.225 0.343 48 0.45399999999999996
DP00168r001_5 0.648 0.297 0.35100000000000003 48 0.498
DP00168r001_4 0.6459999999999999 0.253 0.366 48 0.51
DP00168r001_1 0.5479999999999999 0.28800000000000003 0.366 48 0.442
DP00168r001_2 0.516 0.239 0.321 48 0.442
DP00177r001_1 0.292 0.206 0.447 83 0.35100000000000003
DP00177r001_3 0.249 0.191 0.436 83 0.41600000000000004
DP00177r001_4 0.254 0.219 0.41 83 0.345
DP00177r001_5 0.304 0.207 0.446 83 0.33299999999999996
DP00177r001_2 0.26 0.212 0.436 83 0.36
DP00181r001_5 0.081 0.359 0.602 431 0.16
DP00181r001_2 0.097 0.35700000000000004 0.499 431 0.162
DP00181r001_4 0.096 0.3670000000000001 0.476 431 0.161
DP00181r001_3 0.096 0.363 0.523 431 0.16699999999999998
DP00181r001_1 0.083 0.368 0.486 431 0.16
DP00194r001_2 0.26 0.17 0.349 55 0.302
DP00194r001_1 0.29 0.196 0.33 55 0.294
DP00194r001_3 0.328 0.215 0.298 55 0.285
DP00194r001_4 0.257 0.168 0.335 55 0.337
DP00194r001_5 0.307 0.177 0.4 55 0.28
DP00200r001_3 0.358 0.329 0.407 113 0.376
DP00200r001_4 0.349 0.313 0.377 113 0.35200000000000004
DP00200r001_5 0.377 0.331 0.462 113 0.374
DP00200r001_2 0.344 0.35100000000000003 0.426 113 0.359
DP00200r001_1 0.383 0.318 0.404 113 0.369
DP00214r001_1 0.141 0.278 0.279 314 0.244
DP00214r001_2 0.117 0.28 0.287 314 0.21899999999999997
DP00214r001_3 0.15 0.264 0.269 314 0.242
DP00214r001_4 0.116 0.303 0.28800000000000003 314 0.184
DP00214r001_5 0.119 0.29100000000000004 0.26 314 0.19399999999999998
DP00217r003_1 0.22 0.174 0.517 81 0.336
DP00217r003_3 0.219 0.231 0.512 81 0.369
DP00217r003_2 0.211 0.182 0.4 81 0.336
DP00217r003_5 0.222 0.233 0.441 81 0.327
DP00217r003_4 0.217 0.206 0.52 81 0.33
DP00219r001_5 0.213 0.35100000000000003 0.376 126 0.289
DP00219r001_1 0.2 0.29600000000000004 0.307 126 0.287
DP00219r001_2 0.194 0.302 0.275 126 0.29600000000000004
DP00219r001_4 0.192 0.238 0.284 126 0.284
DP00219r001_3 0.16699999999999998 0.332 0.319 126 0.29600000000000004
DP00220r001_1 0.563 0.295 0.411 63 0.414
DP00220r001_5 0.5 0.29 0.458 63 0.45399999999999996
DP00220r001_4 0.5329999999999999 0.3 0.442 63 0.444
DP00220r001_2 0.585 0.305 0.433 63 0.462
DP00220r001_3 0.539 0.319 0.452 63 0.462
DP00221r001_4 0.053 0.28800000000000003 0.381 585 0.149
DP00221r001_5 0.037000000000000005 0.199 0.387 585 0.125
DP00221r001_3 0.038 0.244 0.16 585 0.113
DP00221r001_1 0.049 0.28 0.25 585 0.155
DP00221r001_2 0.039 0.29600000000000004 0.26 585 0.133
DP00223r001_2 0.34600000000000003 0.172 0.421 78 0.386
DP00223r001_5 0.252 0.153 0.49 78 0.358
DP00223r001_4 0.264 0.201 0.4320000000000001 78 0.474
DP00223r001_3 0.331 0.177 0.482 78 0.42100000000000004
DP00223r001_1 0.306 0.175 0.557 78 0.43200000000000005
DP00225r001_4 0.185 0.263 0.393 152 0.248
DP00225r001_3 0.225 0.242 0.331 152 0.251
DP00225r001_1 0.17800000000000002 0.28600000000000003 0.322 152 0.228
DP00225r001_5 0.244 0.257 0.313 152 0.255
DP00225r001_2 0.219 0.223 0.35700000000000004 152 0.252
DP00225r007_5 0.09 0.264 0.363 418 0.171
DP00225r007_4 0.092 0.256 0.35600000000000004 418 0.179
DP00225r007_2 0.069 0.255 0.5529999999999999 418 0.18
DP00225r007_3 0.085 0.244 0.361 418 0.21
DP00225r007_1 0.08900000000000001 0.258 0.387 418 0.184
DP00229r001_2 0.241 0.318 0.382 83 0.33399999999999996
DP00229r001_5 0.183 0.319 0.376 83 0.305
DP00229r001_1 0.28 0.269 0.324 83 0.33
DP00229r001_4 0.281 0.287 0.27 83 0.33399999999999996
DP00229r001_3 0.282 0.31 0.338 83 0.35100000000000003
DP00230r001_3 0.506 0.331 0.47 75 0.39899999999999997
DP00230r001_5 0.5429999999999999 0.395 0.448 75 0.415
DP00230r001_4 0.512 0.401 0.46 75 0.425
DP00230r001_1 0.419 0.345 0.433 75 0.41700000000000004
DP00230r001_2 0.504 0.371 0.487 75 0.37
DP00231r001_4 0.191 0.206 0.325 200 0.272
DP00231r001_3 0.207 0.229 0.34600000000000003 200 0.302
DP00231r001_5 0.2 0.231 0.33 200 0.282
DP00231r001_1 0.197 0.206 0.425 200 0.31
DP00231r001_2 0.174 0.226 0.29100000000000004 200 0.261
DP00233r002_1 0.152 0.28600000000000003 0.307 267 0.221
DP00233r002_2 0.131 0.332 0.28800000000000003 267 0.18899999999999997
DP00233r002_4 0.107 0.309 0.306 267 0.205
DP00233r002_5 0.127 0.307 0.308 267 0.195
DP00233r002_3 0.132 0.312 0.282 267 0.20800000000000002
DP00236r001_3 0.138 0.312 0.415 171 0.256
DP00236r001_4 0.177 0.319 0.265 171 0.299
DP00236r001_2 0.32 0.273 0.297 171 0.318
DP00236r001_1 0.319 0.315 0.307 171 0.311
DP00236r001_5 0.324 0.33 0.3670000000000001 171 0.317
DP00238r001_4 0.009000000000000001 0.265 0.056 1544 0.106
DP00238r001_2 0.011 0.284 0.034 1544 0.092
DP00238r001_3 0.01 0.28 0.028 1544 0.14400000000000002
DP00238r001_5 0.01 0.307 0.026 1544 0.092
DP00238r001_1 0.011 0.29 0.016 1544 0.11900000000000001
DP00239r001_1 0.8240000000000001 0.118 0.633 27 0.68
DP00239r001_2 0.8170000000000001 0.131 0.617 27 0.63
DP00239r001_5 0.8190000000000001 0.124 0.638 27 0.708
DP00239r001_4 0.8109999999999999 0.127 0.7 27 0.644
DP00239r001_3 0.636 0.15 0.482 27 0.532
DP00240r001_5 0.218 0.279 0.345 308 0.233
DP00240r001_1 0.195 0.271 0.355 308 0.251
DP00240r001_3 0.193 0.279 0.37 308 0.248
DP00240r001_4 0.225 0.279 0.338 308 0.253
DP00240r001_2 0.201 0.265 0.364 308 0.24100000000000002
DP00241r001_2 0.15 0.292 0.404 318 0.23800000000000002
DP00241r001_4 0.124 0.273 0.477 318 0.2
DP00241r001_5 0.161 0.282 0.327 318 0.222
DP00241r001_3 0.18600000000000005 0.274 0.366 318 0.23199999999999998
DP00241r001_1 0.181 0.287 0.377 318 0.235
DP00256r001_5 0.41 0.369 0.4 110 0.332
DP00256r001_2 0.41 0.348 0.384 110 0.34600000000000003
DP00256r001_4 0.374 0.332 0.416 110 0.32799999999999996
DP00256r001_1 0.4270000000000001 0.341 0.34600000000000003 110 0.32
DP00256r001_3 0.424 0.334 0.375 110 0.295
DP00257r009_4 0.491 0.446 0.439 37 0.37200000000000005
DP00257r009_2 0.637 0.371 0.436 37 0.368
DP00257r009_5 0.679 0.39 0.435 37 0.364
DP00257r009_3 0.645 0.423 0.422 37 0.35200000000000004
DP00257r009_1 0.7120000000000001 0.391 0.486 37 0.354
DP00262r004_4 0.135 0.28600000000000003 0.473 201 0.245
DP00262r004_3 0.135 0.318 0.452 201 0.242
DP00262r004_1 0.114 0.317 0.45 201 0.23600000000000002
DP00262r004_2 0.134 0.311 0.403 201 0.23800000000000002
DP00262r004_5 0.105 0.306 0.537 201 0.233
DP00269r001_4 0.262 0.362 0.366 158 0.33799999999999997
DP00269r001_2 0.265 0.338 0.338 158 0.349
DP00269r001_3 0.277 0.344 0.338 158 0.316
DP00269r001_1 0.27 0.376 0.365 158 0.32799999999999996
DP00269r001_5 0.285 0.293 0.333 158 0.306
DP00278r001_3 0.505 0.202 0.455 62 0.441
DP00278r001_1 0.5760000000000001 0.249 0.463 62 0.40299999999999997
DP00278r001_4 0.44 0.17600000000000002 0.485 62 0.41200000000000003
DP00278r001_5 0.417 0.183 0.525 62 0.46
DP00278r001_2 0.573 0.227 0.455 62 0.45799999999999996
DP00278r015_5 0.35600000000000004 0.161 0.195 37 0.35100000000000003
DP00278r015_3 0.445 0.198 0.206 37 0.391
DP00278r015_4 0.289 0.227 0.219 37 0.46399999999999997
DP00278r015_1 0.358 0.257 0.194 37 0.38
DP00278r015_2 0.419 0.242 0.218 37 0.46
DP00282r001_2 0.373 0.149 0.29100000000000004 52 0.498
DP00282r001_3 0.299 0.138 0.276 52 0.401
DP00282r001_1 0.366 0.14 0.377 52 0.529
DP00282r001_4 0.28800000000000003 0.172 0.267 52 0.392
DP00282r001_5 0.327 0.158 0.266 52 0.332
DP00298r001_5 0.35 0.375 0.478 53 0.376
DP00298r001_4 0.256 0.302 0.479 53 0.401
DP00298r001_3 0.275 0.309 0.388 53 0.39299999999999996
DP00298r001_1 0.314 0.302 0.458 53 0.374
DP00298r001_2 0.308 0.23 0.438 53 0.375
DP00304r005_5 0.813 0.504 0.462 41 0.504
DP00304r005_3 0.826 0.481 0.483 41 0.47200000000000003
DP00304r005_1 0.684 0.413 0.415 41 0.44
DP00304r005_2 0.797 0.5 0.449 41 0.518
DP00304r005_4 0.8059999999999999 0.474 0.443 41 0.509
DP00325r001_4 0.374 0.336 0.415 166 0.38799999999999996
DP00325r001_5 0.312 0.336 0.401 166 0.33399999999999996
DP00325r001_1 0.353 0.309 0.35 166 0.33799999999999997
DP00325r001_2 0.183 0.29 0.37 166 0.263
DP00325r001_3 0.38 0.277 0.383 166 0.336
DP00328r006_4 0.271 0.307 0.435 68 0.32899999999999996
DP00328r006_2 0.285 0.297 0.401 68 0.341
DP00328r006_5 0.287 0.222 0.388 68 0.318
DP00328r006_3 0.252 0.305 0.44 68 0.34
DP00328r006_1 0.214 0.312 0.415 68 0.332
DP00328r010_5 0.274 0.358 0.503 77 0.44799999999999995
DP00328r010_4 0.335 0.29100000000000004 0.478 77 0.5
DP00328r010_3 0.34 0.316 0.476 77 0.58
DP00328r010_1 0.362 0.3 0.483 77 0.561
DP00328r010_2 0.3 0.28600000000000003 0.462 77 0.419
DP00329r002_4 0.13 0.268 0.336 224 0.304
DP00329r002_3 0.19 0.26 0.384 224 0.302
DP00329r002_1 0.156 0.264 0.312 224 0.272
DP00329r002_5 0.125 0.313 0.396 224 0.25
DP00329r002_2 0.123 0.255 0.398 224 0.282
DP00332r001_5 0.068 0.269 0.472 317 0.19899999999999998
DP00332r001_3 0.083 0.241 0.32 317 0.26899999999999996
DP00332r001_4 0.07200000000000001 0.238 0.452 317 0.193
DP00332r001_1 0.08800000000000001 0.258 0.4920000000000001 317 0.19
DP00332r001_2 0.085 0.225 0.298 317 0.252
DP00334r005_5 0.545 0.438 0.467 95 0.409
DP00334r005_4 0.517 0.453 0.426 95 0.361
DP00334r005_2 0.536 0.451 0.442 95 0.389
DP00334r005_3 0.468 0.4270000000000001 0.463 95 0.331
DP00334r005_1 0.484 0.441 0.394 95 0.331
DP00345r001_1 0.534 0.225 0.509 70 0.573
DP00345r001_2 0.7090000000000001 0.253 0.44 70 0.474
DP00345r001_3 0.667 0.243 0.446 70 0.491
DP00345r001_4 0.637 0.242 0.35700000000000004 70 0.41700000000000004
DP00345r001_5 0.6940000000000001 0.226 0.417 70 0.495
DP00346r001_4 0.547 0.142 0.405 32 0.426
DP00346r001_5 0.515 0.206 0.436 32 0.504
DP00346r001_2 0.5760000000000001 0.16399999999999998 0.421 32 0.509
DP00346r001_1 0.532 0.158 0.4 32 0.48200000000000004
DP00346r001_3 0.386 0.256 0.422 32 0.45399999999999996
DP00347r001_5 0.469 0.241 0.405 87 0.318
DP00347r001_3 0.441 0.322 0.418 87 0.341
DP00347r001_4 0.315 0.267 0.513 87 0.332
DP00347r001_1 0.449 0.235 0.451 87 0.33
DP00347r001_2 0.441 0.261 0.434 87 0.33
DP00351r001_1 0.114 0.25 0.535 267 0.213
DP00351r001_2 0.13 0.245 0.413 267 0.23199999999999998
DP00351r001_3 0.15 0.276 0.37 267 0.235
DP00351r001_5 0.13 0.282 0.46 267 0.218
DP00351r001_4 0.13 0.24 0.433 267 0.21899999999999997
DP00352r002_1 0.413 0.326 0.396 36 0.512
DP00352r002_2 0.339 0.257 0.325 36 0.43200000000000005
DP00352r002_3 0.35600000000000004 0.321 0.35700000000000004 36 0.47600000000000003
DP00352r002_4 0.384 0.282 0.345 36 0.466
DP00352r002_5 0.39 0.252 0.366 36 0.45799999999999996
DP00353r001_2 0.454 0.29100000000000004 0.35600000000000004 90 0.42100000000000004
DP00353r001_1 0.414 0.29100000000000004 0.428 90 0.413
DP00353r001_4 0.449 0.317 0.4370000000000001 90 0.434
DP00353r001_5 0.295 0.29100000000000004 0.422 90 0.42
DP00353r001_3 0.473 0.32 0.377 90 0.428
DP00356r001_3 0.46 0.28300000000000003 0.532 50 0.474
DP00356r001_4 0.342 0.202 0.438 50 0.52
DP00356r001_1 0.413 0.306 0.47 50 0.44299999999999995
DP00356r001_5 0.292 0.22 0.449 50 0.5
DP00356r001_2 0.35200000000000004 0.251 0.511 50 0.43
DP00358r001_5 0.466 0.303 0.478 38 0.386
DP00358r001_4 0.531 0.243 0.456 38 0.42100000000000004
DP00358r001_3 0.519 0.315 0.473 38 0.408
DP00358r001_1 0.5770000000000001 0.279 0.477 38 0.43200000000000005
DP00358r001_2 0.5660000000000001 0.239 0.503 38 0.413
DP00372r001_2 0.503 0.341 0.454 106 0.44299999999999995
DP00372r001_4 0.506 0.321 0.478 106 0.456
DP00372r001_1 0.447 0.373 0.506 106 0.392
DP00372r001_5 0.242 0.35700000000000004 0.4370000000000001 106 0.36
DP00372r001_3 0.51 0.37 0.416 106 0.41200000000000003
DP00377r001_3 0.54 0.141 0.454 44 0.449
DP00377r001_2 0.615 0.135 0.448 44 0.508
DP00377r001_5 0.5539999999999999 0.19 0.486 44 0.414
DP00377r001_4 0.52 0.158 0.401 44 0.542
DP00377r001_1 0.611 0.16899999999999998 0.467 44 0.46
DP00378r002_5 0.317 0.325 0.379 147 0.281
DP00378r002_2 0.256 0.285 0.29 147 0.28600000000000003
DP00378r002_1 0.247 0.252 0.334 147 0.311
DP00378r002_3 0.252 0.29 0.337 147 0.275
DP00378r002_4 0.32 0.3 0.377 147 0.289
DP00385r002_5 0.405 0.156 0.28800000000000003 34 0.495
DP00385r002_1 0.435 0.133 0.279 34 0.5820000000000001
DP00385r002_3 0.417 0.149 0.4 34 0.46299999999999997
DP00385r002_4 0.468 0.15 0.4320000000000001 34 0.46399999999999997
DP00385r002_2 0.438 0.129 0.45 34 0.59
DP00385r003_1 0.456 0.185 0.4320000000000001 33 0.41200000000000003
DP00385r003_5 0.491 0.141 0.42 33 0.42200000000000004
DP00385r003_2 0.424 0.155 0.418 33 0.43799999999999994
DP00385r003_4 0.342 0.17600000000000002 0.385 33 0.39799999999999996
DP00385r003_3 0.489 0.158 0.431 33 0.37
DP00389r001_1 0.8590000000000001 0.266 0.52 62 0.45299999999999996
DP00389r001_4 0.8640000000000001 0.253 0.5820000000000001 62 0.45899999999999996
DP00389r001_3 0.871 0.272 0.519 62 0.457
DP00389r001_2 0.871 0.248 0.5579999999999999 62 0.452
DP00389r001_5 0.868 0.277 0.5479999999999999 62 0.47
DP00395r004_3 0.469 0.215 0.4370000000000001 37 0.441
DP00395r004_1 0.439 0.189 0.348 37 0.5
DP00395r004_2 0.3720000000000001 0.16399999999999998 0.414 37 0.466
