modelID,RMSD,lddt,pcons,proq4,dan,seqlength,tmalign
DP00133r025_4,3.08,0.6626,0.108,0.343,0.211,300,0.1092
DP00070r001_4,20.83,0.2456,0.921,0.215,0.462,140,0.10921
DP00070r001_2,20.76,0.2411,0.925,0.227,0.395,140,0.10939
DP00070r001_1,20.82,0.2462,0.941,0.216,0.462,140,0.10955
DP00791r003_3,7.8,0.241,0.446,0.16,0.502,26,0.11042
DP00048r023_2,14.87,0.1217,0.598,0.239,0.371,83,0.11115
DP01475r001_5,4.97,0.4665,0,0.261,0.14,310,0.11152
DP01478r006_1,17.59,0.2347,0.339,0.309,0.302,42,0.11161
DP00808r004_4,6.95,0.276,0.541,0.183,0.306,93,0.11166
DP01658r004_3,24.89,0.1881,0.103,0.312,0.236,99,0.11186
DP00931r002_3,6.23,0.2773,0.344,0.188,0.476,34,0.11187
DP01943r001_4,11.27,0.1665,0.809,0.298,0.524,62,0.11245
DP01943r001_2,11.39,0.1823,0.817,0.258,0.554,62,0.11261
DP01538r001_4,18.95,0.1746,0.126,0.312,0.246,84,0.1138
DP02386r001_4,38.75,0.1851,0.103,0.274,0.194,358,0.11433
DP02487r002_1,4.65,0.3585,0,0.404,0.328,206,0.11448
DP01090r005_2,58.78,0.2549,0.089,0.305,0.121,1500,0.11491
DP01450r001_3,21.62,0.1169,0.208,0.307,0.131,318,0.1152
DP01880r001_3,12.77,0.2438,0.276,0.324,0.267,206,0.11527
DP01478r006_3,17.54,0.2298,0.317,0.43,0.314,42,0.11537
DP01478r006_2,15.22,0.2356,0.376,0.299,0.319,42,0.11543
DP01478r006_5,15.72,0.2293,0.372,0.329,0.295,42,0.11737
DP02086r001_4,15.74,0.1051,0.183,0.251,0.256,142,0.1175
DP01880r001_4,12.78,0.2368,0.263,0.291,0.266,206,0.11751
DP02481r001_3,19.43,0.1467,0.354,0.282,0.26,142,0.11765
DP00931r002_1,6.71,0.2853,0.304,0.151,0.385,34,0.1177
DP00533r001_4,31.97,0.08,0.238,0.281,0.22,334,0.1182
DP01090r005_3,62.01,0.2569,0.067,0.31,0.081,1500,0.1183
DP00931r002_2,6.31,0.2784,0.273,0.183,0.376,34,0.11835
DP00775r007_3,1.49,0.769,0.636,0.433,0.587,218,0.11872
DP00533r001_2,25.22,0.0809,0.225,0.29,0.241,334,0.11876
DP02167r001_3,11.73,0.15,0.861,0.3,0.333,132,0.11905
DP02481r001_1,18.84,0.1472,0.3,0.295,0.245,142,0.11972
DP01538r001_5,19.01,0.1773,0.131,0.306,0.262,84,0.11997
DP00659r001_5,21.11,0.2438,0.268,0.302,0.322,153,0.1201
DP00633r001_4,2.59,0.5784,0.251,0.241,0.291,166,0.12032
DP00048r023_5,12.52,0.1245,0.492,0.233,0.37,83,0.12087
DP00775r007_5,0.81,0.7843,0.661,0.477,0.727,218,0.1213
DP00775r007_2,0.79,0.8008,0.65,0.455,0.628,218,0.12139
DP02481r001_2,19.71,0.1495,0.376,0.299,0.254,142,0.1215
DP01594r005_4,20.56,0.1382,0.287,0.441,0.258,85,0.12168
DP01880r001_1,12.31,0.2395,0.266,0.32,0.252,206,0.122
DP00931r002_5,6.54,0.2925,0.189,0.208,0.405,34,0.12219
DP00633r001_3,2.42,0.5759,0.184,0.245,0.246,166,0.12227
DP01852r001_2,4.63,0.4098,0,0.364,0.279,172,0.1223
DP01450r001_4,17.95,0.1422,0.232,0.379,0.168,318,0.1226
DP01880r001_2,12.85,0.2501,0.235,0.29,0.264,206,0.12275
DP00492r001_5,40.27,0.0874,0.162,0.255,0.203,344,0.12276
DP01658r003_3,43.99,0.2188,0.086,0.354,0.183,242,0.12281
DP00207r007_3,9.76,0.5699,0,0.215,0.161,564,0.12313
DP02481r001_5,19.15,0.1504,0.327,0.322,0.265,142,0.12333
DP02386r001_1,42.8,0.1759,0.129,0.288,0.194,358,0.12337
DP02049r001_3,22.69,0.1492,0.446,0.382,0.418,155,0.12338
DP01538r001_3,17,0.1844,0.164,0.266,0.237,84,0.12405
DP01304r001_5,16.77,0.1247,0.164,0.156,0.284,74,0.12417
DP00633r001_5,2.48,0.6046,0.24,0.259,0.288,166,0.12421
DP02386r001_5,42.05,0.1871,0.137,0.275,0.193,358,0.12434
DP01594r005_1,21.04,0.1315,0.302,0.381,0.271,85,0.12446
DP01100r001_5,27.21,0.4001,0.452,0.376,0.175,441,0.12452
DP00803r001_3,17.29,0.2089,0.494,0.273,0.367,58,0.12464
DP00808r004_5,6.26,0.2791,0.321,0.183,0.322,93,0.12464
DP00674r001_1,14.62,0.1961,0.215,0.161,0.326,154,0.12477
DP00633r001_2,2.41,0.6147,0.226,0.229,0.289,166,0.12505
DP02386r001_3,40.53,0.183,0.097,0.28,0.188,358,0.1252
DP02478r001_4,13.17,0.0768,0.257,0.282,0.29,199,0.12543
DP01538r001_2,17.45,0.1853,0.142,0.288,0.251,84,0.12568
DP00803r001_2,19.85,0.2054,0.65,0.28,0.344,58,0.12597
DP00492r001_3,33.88,0.09,0.151,0.27,0.232,344,0.12619
DP00659r001_2,20.44,0.2373,0.242,0.274,0.338,153,0.12632
DP02167r001_4,11.9,0.1444,0.854,0.292,0.332,132,0.12644
DP00633r001_1,2.3,0.6245,0.28,0.234,0.313,166,0.12648
DP02478r001_5,14.67,0.0762,0.264,0.283,0.282,199,0.12682
DP02487r002_4,4.72,0.3406,0,0.377,0.334,206,0.12694
DP00068r001_4,7.49,0.409,0,0.426,0.61,206,0.12713
DP02049r001_2,24.04,0.1477,0.547,0.385,0.458,155,0.12714
DP00803r001_4,18.64,0.2348,0.657,0.273,0.419,58,0.12743
DP01890r005_5,15.42,0.2679,0.401,0.232,0.356,61,0.12793
DP01806r001_2,3.5,0.5499,0,0.262,0.314,108,0.12796
DP00791r003_5,7.74,0.2518,0.438,0.179,0.474,26,0.12798
DP00068r001_1,7.19,0.4,0,0.426,0.541,206,0.12838
DP01747r001_1,25.13,0.2833,0.287,0.272,0.315,86,0.12851
DP02519r001_1,15.56,0.1097,0.745,0.557,0.444,301,0.12854
DP00659r001_4,20.93,0.251,0.244,0.267,0.37,153,0.12875
DP02167r001_5,11.9,0.1474,0.818,0.315,0.358,132,0.12899
DP00588r001_1,2.73,0.5185,0,0.23,0.318,82,0.12912
DP00803r001_5,19.46,0.2106,0.644,0.272,0.418,58,0.12915
DP01890r005_2,16.16,0.2679,0.35,0.252,0.338,61,0.12918
DP01026r006_1,18.16,0.0978,0.666,0.556,0.414,401,0.12919
DP00659r001_1,18.64,0.2409,0.281,0.309,0.302,153,0.12923
DP00659r001_3,22.12,0.2532,0.224,0.259,0.35,153,0.12934
DP00128r001_5,7.33,0.1994,0,0.401,0.52,251,0.1295
DP01304r001_4,23.11,0.1151,0.168,0.173,0.248,74,0.12953
DP01450r001_2,17.35,0.1326,0.197,0.362,0.154,318,0.12959
DP02519r001_3,15.7,0.1098,0.768,0.568,0.442,301,0.12964
DP01026r006_2,18.17,0.0964,0.708,0.55,0.398,401,0.12967
DP02167r001_1,11.92,0.1469,0.824,0.349,0.328,132,0.12999
DP01026r006_3,18.23,0.0965,0.696,0.552,0.448,401,0.13007
DP02049r001_5,24.78,0.1515,0.532,0.367,0.412,155,0.13025
DP01026r006_4,18.27,0.0954,0.602,0.521,0.368,401,0.13087
DP02049r001_4,24.04,0.1473,0.581,0.39,0.458,155,0.13103
DP01026r006_5,18.16,0.096,0.67,0.544,0.404,401,0.13126
DP02167r001_2,11.68,0.1487,0.863,0.368,0.327,132,0.13149
DP02478r001_3,11.82,0.0775,0.221,0.258,0.261,199,0.13156
DP01538r001_1,16.46,0.1763,0.139,0.296,0.236,84,0.13197
DP02519r001_2,15.88,0.1104,0.754,0.567,0.442,301,0.13201
DP02049r001_1,23.88,0.1489,0.527,0.383,0.466,155,0.13227
DP02519r001_4,15.32,0.1095,0.691,0.56,0.46,301,0.13238
DP01890r005_4,15.53,0.2786,0.374,0.278,0.368,61,0.13266
DP00994r005_3,29.77,0.2795,0.231,0.246,0.253,97,0.13268
DP02476r007_2,15.61,0.0477,0.949,0.47,0.424,229,0.13289
DP02481r001_4,21.38,0.1531,0.171,0.286,0.246,142,0.13314
DP00492r001_2,38.22,0.0869,0.082,0.269,0.206,344,0.1333
DP01090r005_5,54.25,0.2603,0.097,0.298,0.101,1500,0.13381
DP00492r001_4,32.94,0.0923,0.143,0.248,0.219,344,0.13408
DP01104r001_4,20.97,0.119,0.201,0.274,0.263,131,0.13426
DP00808r001_3,9.88,0.3867,0.564,0.263,0.493,51,0.13444
DP02476r007_5,14.2,0.0472,0.941,0.477,0.415,229,0.13447
DP01658r003_1,45.18,0.2124,0.096,0.388,0.19,242,0.13457
DP00994r005_5,29.64,0.2798,0.254,0.229,0.234,97,0.13458
DP01475r001_1,5.26,0.4899,0,0.231,0.181,310,0.13464
DP01658r003_2,44.14,0.2207,0.101,0.356,0.183,242,0.13515
DP01852r001_4,5.08,0.4195,0,0.375,0.256,172,0.13524
DP00994r005_2,29.46,0.2694,0.172,0.325,0.277,97,0.13539
DP02515r001_4,30.85,0.095,0.742,0.543,0.454,338,0.13563
DP00207r007_5,7.96,0.5337,0.14,0.247,0.17,564,0.13567
DP01203r001_5,11.11,0.3766,0.799,0.337,0.42,119,0.13609
DP01100r001_1,27.63,0.4035,0.424,0.36,0.171,441,0.13614
DP00533r001_3,24.34,0.0788,0.15,0.295,0.206,334,0.13617
DP00808r004_1,6.89,0.2907,0.547,0.234,0.317,93,0.13618
DP02071r001_5,19.14,0.1625,0.833,0.321,0.498,81,0.13624
DP02515r001_2,27.82,0.0962,0.723,0.52,0.444,338,0.13629
DP00808r004_3,5.7,0.2921,0.502,0.197,0.371,93,0.13635
DP02515r001_3,30.26,0.0949,0.742,0.541,0.41,338,0.13645
DP02515r001_1,27.82,0.09359,0.74,0.527,0.424,338,0.1367
DP02071r001_2,19.29,0.1632,0.866,0.335,0.516,81,0.13679
DP00492r001_1,32.81,0.09173,0.137,0.241,0.224,344,0.137
DP00994r005_4,29.31,0.2718,0.2,0.227,0.231,97,0.13754
DP01090r005_4,46.56,0.2478,0.081,0.308,0.089,1500,0.13788
DP01890r005_3,15.74,0.2724,0.291,0.26,0.343,61,0.13802
DP01450r001_5,19.2,0.1521,0.23,0.352,0.162,318,0.13858
DP02519r001_5,15.95,0.1098,0.742,0.558,0.416,301,0.13876
DP02071r001_4,19.28,0.1607,0.883,0.327,0.596,81,0.13879
DP00111r001_3,13.93,0.141,0.202,0.14,0.35,58,0.1389
DP00720r001_1,15.44,0.1332,0.545,0.332,0.385,82,0.13934
DP02515r001_5,26.15,0.095,0.756,0.543,0.437,338,0.13937
DP00994r005_1,30.03,0.2733,0.204,0.27,0.228,97,0.13947
DP01747r001_4,27.36,0.294,0.323,0.302,0.328,86,0.1395
DP00720r001_2,15.62,0.125,0.498,0.387,0.398,82,0.13962
DP01100r001_3,27.19,0.3781,0.215,0.347,0.16,441,0.14014
DP02478r001_1,13.2,0.07905,0.274,0.256,0.267,199,0.14027
DP01594r005_2,19.4,0.1427,0.258,0.367,0.272,85,0.14037
DP02386r001_2,39.66,0.1818,0.127,0.247,0.175,358,0.1405
DP02071r001_1,19.34,0.1584,0.877,0.327,0.55,81,0.14055
DP01658r003_5,44.37,0.2205,0.079,0.316,0.182,242,0.14059
DP00791r003_2,7.48,0.2521,0.418,0.119,0.546,26,0.1406
DP01880r001_5,11.17,0.2668,0.195,0.289,0.26,206,0.14084
DP01330r001_3,32.17,0.1302,0.229,0.31,0.229,112,0.14129
DP02071r001_3,19.3,0.1612,0.882,0.318,0.528,81,0.1414
DP01339r001_4,26.49,0.1861,0.277,0.344,0.208,73,0.14146
DP00986r001_4,8.48,0.2387,0.407,0.287,0.508,28,0.14185
DP01658r003_4,44.15,0.2135,0.087,0.379,0.187,242,0.14197
DP00533r001_5,20.68,0.083,0.242,0.262,0.237,334,0.14203
DP00207r007_1,6.39,0.493,0.28,0.255,0.151,564,0.14213
DP00222r001_1,33.47,0.107,0.084,0.233,0.086,720,0.14228
DP02478r001_2,12.64,0.0805,0.231,0.241,0.216,199,0.14231
DP02506r001_3,26.89,0.091,0.459,0.545,0.45,235,0.14243
DP01658r004_5,20.85,0.1861,0.117,0.299,0.213,99,0.14283
DP01863r001_4,22.53,0.1399,0.121,0.325,0.206,462,0.14288
DP01658r004_1,24.12,0.1821,0.138,0.41,0.214,99,0.14293
DP00803r001_1,19.52,0.226,0.637,0.3,0.391,58,0.14328
DP01104r001_1,22.93,0.1169,0.204,0.321,0.271,131,0.14333
DP02487r001_3,3.48,0.3203,0,0.35,0.218,288,0.14342
DP02476r007_1,16.77,0.04859,0.935,0.462,0.413,229,0.14353
DP02487r002_5,4.66,0.3371,0,0.36,0.327,206,0.14439
DP01503r001_5,22.61,0.3106,0.106,0.307,0.51,74,0.14443
DP00207r007_4,7.2,0.4916,0.202,0.226,0.157,564,0.14454
DP01330r001_2,30.9,0.1457,0.226,0.341,0.232,112,0.14472
DP01330r001_1,36.45,0.1405,0.188,0.296,0.251,112,0.14492
DP01503r001_2,18.56,0.3417,0.113,0.326,0.342,74,0.14492
DP01863r001_1,22.26,0.1352,0.106,0.32,0.16,462,0.14501
DP01339r001_2,22.3,0.1967,0.189,0.322,0.242,73,0.14502
DP01478r006_4,14.74,0.2451,0.358,0.38,0.278,42,0.14548
DP00986r001_5,10.6,0.2412,0.75,0.283,0.508,28,0.14635
DP01304r001_2,27.62,0.1209,0.181,0.155,0.262,74,0.14642
DP01102r009_3,5.2,0.4097,0,0.273,0.16,526,0.14672
DP01104r001_5,20.65,0.1225,0.189,0.291,0.286,131,0.14757
DP01100r001_4,26.77,0.3728,0.265,0.342,0.175,441,0.14776
DP00986r001_2,10.74,0.2387,0.741,0.314,0.495,28,0.14804
DP00986r001_1,10.48,0.2423,0.65,0.219,0.515,28,0.1484
DP01521r001_3,18.61,0.1929,0.214,0.316,0.152,282,0.1484
DP01450r001_1,18.88,0.1586,0.231,0.38,0.161,318,0.14847
DP00986r001_3,10.63,0.2434,0.741,0.273,0.522,28,0.1488
DP02513r001_1,22.04,0.09356,0.084,0.31,0.076,1408,0.14962
DP02506r001_2,25.66,0.091,0.461,0.555,0.505,235,0.14971
DP02506r001_5,25.32,0.0931,0.441,0.537,0.458,235,0.14971
DP01104r001_2,20.95,0.1241,0.24,0.344,0.278,131,0.14984
DP00541r001_5,8.06,0.4852,0,0.291,0.256,257,0.15011
DP01658r004_2,19.06,0.1749,0.101,0.303,0.214,99,0.15012
DP00808r001_2,8.69,0.4177,0.418,0.232,0.452,51,0.15065
DP01890r005_1,15.87,0.2687,0.414,0.252,0.356,61,0.15134
DP00808r001_4,9.55,0.3995,0.375,0.246,0.467,51,0.15139
DP01330r001_4,25.76,0.1378,0.211,0.261,0.256,112,0.1516
DP01863r001_5,22.86,0.1463,0.111,0.33,0.169,462,0.15166
DP01100r001_2,27.03,0.408,0.458,0.361,0.191,441,0.15169
DP01426r018_4,9.27,0.2214,0.589,0.377,0.242,143,0.15174
DP01475r001_2,5.17,0.4682,0,0.27,0.159,310,0.15191
DP01521r001_4,14.48,0.1892,0.223,0.287,0.126,282,0.15204
DP00674r001_5,13.25,0.1977,0.245,0.159,0.38,154,0.1521
DP01594r005_3,19.09,0.1497,0.301,0.413,0.271,85,0.15213
DP01172r001_4,15.26,0.1679,0.32,0.23,0.326,100,0.15218
DP01747r001_2,30.26,0.3115,0.294,0.294,0.32,86,0.15258
DP02506r001_1,26.56,0.09151,0.466,0.549,0.494,235,0.15262
DP00720r001_3,14.08,0.1368,0.487,0.386,0.382,82,0.15299
DP01172r001_2,12.79,0.1696,0.331,0.192,0.335,100,0.15313
DP01304r001_1,20.53,0.1227,0.169,0.202,0.275,74,0.15328
DP01172r001_3,15.76,0.1649,0.346,0.21,0.311,100,0.15334
DP00931r002_4,5.85,0.2932,0.264,0.138,0.345,34,0.15374
DP01172r001_5,14.74,0.1679,0.309,0.202,0.338,100,0.15484
DP00163r001_2,31.29,0.1143,0.58,0.498,0.409,265,0.15493
DP00163r001_3,30.68,0.1173,0.62,0.489,0.394,265,0.15493
DP00163r001_4,32.38,0.1142,0.556,0.501,0.41,265,0.15495
DP01503r001_3,23.64,0.3049,0.1,0.311,0.512,74,0.15496
DP00068r001_3,7.21,0.4491,0,0.432,0.506,206,0.15502
DP01330r001_5,33.1,0.1501,0.234,0.293,0.241,112,0.15511
DP00163r001_1,28.23,0.117,0.573,0.506,0.354,265,0.15528
DP00163r001_5,30.68,0.1167,0.62,0.494,0.41,265,0.15528
DP01172r001_1,15.13,0.1593,0.339,0.221,0.309,100,0.15583
DP00674r001_4,12.8,0.212,0.219,0.195,0.381,154,0.15585
DP02476r007_4,13.65,0.0482,0.936,0.466,0.408,229,0.15604
DP01425r001_1,14.51,0.1963,0.229,0.233,0.213,111,0.15616
DP01863r001_2,22.52,0.1381,0.085,0.348,0.197,462,0.15654
DP01304r001_3,15.81,0.1238,0.183,0.155,0.254,74,0.15686
DP00797r001_3,13.46,0.1624,0.448,0.228,0.412,77,0.15741
DP01426r018_1,9.46,0.2184,0.62,0.329,0.223,143,0.15752
DP01241r001_1,19.05,0.6676,0.191,0.353,0.3,136,0.1578
DP00808r001_1,9.71,0.3971,0.567,0.231,0.488,51,0.15887
DP02506r001_4,25.29,0.0906,0.47,0.565,0.472,235,0.16029
DP00533r001_1,20.22,0.08297,0.253,0.292,0.23,334,0.16032
DP00341r001_2,4.72,0.6767,0.237,0.219,0.336,118,0.16039
DP00341r001_3,4.69,0.6298,0.269,0.249,0.312,118,0.16102
DP00808r004_2,6.75,0.2859,0.533,0.202,0.305,93,0.16105
DP00341r001_4,4.04,0.6748,0.26,0.246,0.339,118,0.16114
DP00341r001_5,4.64,0.6501,0.266,0.255,0.34,118,0.16142
DP01747r001_3,36.8,0.2786,0.318,0.276,0.349,86,0.16186
DP01594r005_5,20.09,0.1425,0.281,0.419,0.252,85,0.16195
DP00752r001_4,10.47,0.1839,0.965,0.654,0.704,71,0.16212
DP00752r001_1,10.43,0.1846,0.977,0.659,0.62,71,0.16235
DP00341r001_1,4.65,0.6698,0.223,0.243,0.329,118,0.16236
DP02508r001_1,22.74,0.1675,0.316,0.352,0.321,282,0.16245
DP00752r001_5,10.44,0.1846,0.975,0.67,0.647,71,0.16254
DP00752r001_3,10.43,0.1848,0.98,0.669,0.644,71,0.1626
DP00752r001_2,10.43,0.1817,0.971,0.676,0.706,71,0.16272
DP00797r001_1,16.07,0.1603,0.45,0.251,0.448,77,0.16305
DP01104r001_3,20.27,0.1242,0.203,0.316,0.238,131,0.16322
DP02513r001_3,26.82,0.1033,0.12,0.353,0.1,1408,0.1633
DP01524r001_5,20.87,0.2079,0.321,0.13,0.329,41,0.16349
DP00541r001_2,7.37,0.539,0,0.247,0.239,257,0.16357
DP02508r001_5,24.02,0.1728,0.321,0.33,0.327,282,0.16373
DP00978r005_4,35.83,0.0899,0.075,0.327,0.172,466,0.16376
DP01863r001_3,20.89,0.1352,0.09,0.299,0.153,462,0.16385
DP01521r001_5,13.55,0.199,0.254,0.314,0.15,282,0.16435
DP00797r001_2,14.17,0.1715,0.482,0.207,0.462,77,0.16471
DP01339r001_3,25.26,0.196,0.264,0.385,0.243,73,0.16579
DP01102r009_2,6.08,0.4026,0,0.306,0.173,526,0.1661
DP01102r009_4,5.64,0.3474,0,0.327,0.182,526,0.16612
DP00674r001_3,14.78,0.232,0.217,0.172,0.373,154,0.16642
DP00207r007_2,6.16,0.5028,0.296,0.241,0.178,564,0.16669
DP00128r001_4,7.41,0.2027,0,0.419,0.544,251,0.16705
DP00978r005_5,33.61,0.0929,0.089,0.341,0.176,466,0.16727
DP00720r001_4,13.19,0.1297,0.531,0.353,0.385,82,0.16778
DP01658r005_4,31.39,0.5402,0.338,0.389,0.176,216,0.16792
DP02508r001_3,23.57,0.1731,0.318,0.371,0.335,282,0.16793
DP00978r005_2,27.63,0.091,0.081,0.336,0.187,466,0.16807
DP00754r001_2,13.71,0.2296,0.389,0.235,0.465,33,0.16815
DP01658r005_5,33.78,0.5636,0.325,0.408,0.172,216,0.16815
DP01658r005_1,32.21,0.5618,0.362,0.405,0.168,216,0.16827
DP01806r001_3,3.35,0.525,0,0.253,0.297,108,0.16868
DP01658r005_2,31.76,0.5618,0.417,0.438,0.181,216,0.1687
DP02513r001_4,25.95,0.0998,0.136,0.366,0.14,1408,0.16884
DP00978r005_1,32.87,0.08509,0.069,0.327,0.181,466,0.16894
DP01503r001_4,18.11,0.3143,0.108,0.326,0.5,74,0.16962
DP01765r001_2,9.43,0.3308,0.201,0.277,0.293,139,0.16998
DP01658r005_3,33.17,0.5589,0.392,0.429,0.175,216,0.17004
DP02481r002_5,27.39,0.1242,0.376,0.413,0.202,751,0.17092
DP01102r009_5,4.98,0.3679,0,0.279,0.167,526,0.17103
DP00797r001_5,14.62,0.168,0.492,0.24,0.424,77,0.17104
DP02495r001_1,19.26,0.131,0.55,0.536,0.458,218,0.17135
DP00791r003_4,6.28,0.2624,0.488,0.139,0.592,26,0.17136
DP02508r001_4,23.1,0.1692,0.323,0.352,0.322,282,0.17169
DP01524r001_1,21.5,0.2074,0.378,0.135,0.352,41,0.17186
DP02495r001_2,18.05,0.1299,0.758,0.555,0.416,218,0.17188
DP00674r001_2,13.77,0.2085,0.257,0.163,0.377,154,0.17225
DP01521r001_1,15.21,0.1928,0.232,0.303,0.121,282,0.17227
DP01658r004_4,16.69,0.1809,0.121,0.376,0.226,99,0.17256
DP02481r002_4,30.26,0.1171,0.378,0.391,0.198,751,0.17276
DP01426r018_3,9.9,0.2145,0.611,0.338,0.233,143,0.17279
DP02481r002_2,25.47,0.1171,0.362,0.362,0.142,751,0.1728
DP00128r001_3,7.43,0.2046,0,0.396,0.568,251,0.17281
DP02495r001_4,17.83,0.1305,0.733,0.559,0.468,218,0.17288
DP00771r001_5,13.43,0.2085,0.302,0.458,0.403,71,0.17296
DP01852r001_3,4.79,0.4227,0,0.348,0.266,172,0.17298
DP00797r001_4,15.18,0.1623,0.396,0.204,0.373,77,0.17318
DP02495r001_5,18.16,0.1291,0.725,0.534,0.4,218,0.17326
DP01524r001_3,19.05,0.2132,0.402,0.13,0.356,41,0.17338
DP00091r001_4,19.29,0.1312,0.595,0.358,0.458,84,0.17367
DP02481r002_1,29.41,0.1204,0.38,0.377,0.183,751,0.17414
DP02495r001_3,17.98,0.1327,0.735,0.539,0.434,218,0.17446
DP00111r001_4,13.5,0.1659,0.34,0.134,0.39,58,0.17489
DP01425r001_4,16.85,0.196,0.208,0.22,0.207,111,0.175
DP01544r001_5,5.37,0.0998,0.48,0.177,0.387,46,0.17503
DP01593r002_1,42.23,0.3014,0.291,0.361,0.264,140,0.17509
DP01426r018_5,10.07,0.2242,0.547,0.359,0.229,143,0.17521
DP00771r001_3,13.71,0.2105,0.394,0.392,0.364,71,0.17527
DP01544r001_2,5.28,0.1067,0.478,0.179,0.395,46,0.17527
DP00111r001_5,13.99,0.1634,0.334,0.131,0.407,58,0.17528
DP01544r001_1,5.31,0.1184,0.48,0.288,0.348,46,0.1753
DP01241r001_4,19.13,0.6598,0.254,0.361,0.293,136,0.17535
DP01593r002_3,37.76,0.3,0.224,0.331,0.234,140,0.17554
DP00128r001_1,7.41,0.203,0,0.385,0.602,251,0.17573
DP01544r001_3,4.89,0.1022,0.475,0.172,0.389,46,0.1759
DP00753r001_5,17.31,0.1673,0.982,0.648,0.613,81,0.17595
DP01475r001_3,5.25,0.4805,0,0.267,0.164,310,0.17603
DP00753r001_3,17.3,0.1693,0.988,0.662,0.592,81,0.17628
DP01593r002_5,42.19,0.2979,0.289,0.376,0.233,140,0.17628
DP00128r001_2,7.41,0.204,0,0.43,0.622,251,0.17629
DP01339r001_1,21.57,0.2043,0.226,0.403,0.247,73,0.17642
DP00753r001_2,17.33,0.1696,0.988,0.662,0.628,81,0.17671
DP00068r001_2,7.46,0.4038,0,0.433,0.558,206,0.17675
DP00753r001_4,17.3,0.1706,0.98,0.659,0.633,81,0.17681
DP00068r001_5,7.42,0.3961,0,0.423,0.55,206,0.17691
