modelID tmalign RMSD lddt pcons proq4 dan seqlength
DP00091r001_2 0.18678 19.99 0.1393 0.618 0.397 0.457 84
DP00091r001_3 0.20373 19.35 0.1363 0.596 0.396 0.489 84
DP00091r001_4 0.17367 19.29 0.1312 0.595 0.358 0.45799999999999996 84
DP00091r001_5 0.18792999999999999 19.67 0.1362 0.58 0.377 0.506 84
DP00091r003_1 0.42152 2.82 0.6795 0.603 0.508 0.624 85
DP00091r003_2 0.42539 2.78 0.6745 0.637 0.499 0.605 85
DP00091r003_3 0.42103 2.81 0.6804 0.579 0.511 0.664 85
DP00091r003_4 0.42433000000000004 2.78 0.6838 0.603 0.507 0.594 85
DP00091r003_5 0.42558 2.76 0.6768 0.604 0.48200000000000004 0.636 85
DP00094r001_1 0.2109 4.29 0.4589 0.0 0.14 0.484 71
DP00094r001_2 0.37137 3.84 0.4967 0.0 0.15 0.552 71
DP00094r001_3 0.36491 3.87 0.5531 0.0 0.145 0.552 71
DP00094r001_4 0.22641999999999998 4.21 0.4785 0.0 0.14400000000000002 0.642 71
DP00094r001_5 0.34236 3.93 0.5122 0.0 0.14 0.53 71
DP00111r001_1 0.18053 12.43 0.1646 0.272 0.159 0.359 58
DP00111r001_2 0.23019 10.53 0.1617 0.29100000000000004 0.134 0.335 58
DP00111r001_3 0.1389 13.93 0.141 0.202 0.14 0.35 58
DP00111r001_4 0.17489000000000002 13.5 0.1659 0.34 0.134 0.39 58
DP00111r001_5 0.17528 13.99 0.1634 0.334 0.131 0.40700000000000003 58
DP00113r001_1 0.58143 4.29 0.5942 0.91 0.284 0.728 93
DP00113r001_2 0.58344 3.8 0.5821 0.928 0.268 0.7809999999999999 93
DP00113r001_3 0.5813 3.89 0.5841 0.926 0.27399999999999997 0.774 93
DP00113r001_4 0.5835899999999999 4.03 0.5789 0.909 0.278 0.696 93
DP00113r001_5 0.5542699999999999 3.81 0.5553 0.898 0.26 0.644 93
DP00116r001_1 0.40284000000000003 5.47 0.4995 0.6579999999999999 0.247 0.513 49
DP00116r001_2 0.3985 5.31 0.494 0.659 0.24 0.55 49
DP00116r001_3 0.47143 7.73 0.4466 0.769 0.22699999999999998 0.59 49
DP00116r001_4 0.46866 7.51 0.4411 0.75 0.225 0.602 49
DP00116r001_5 0.47043 7.73 0.4434 0.769 0.235 0.579 49
DP00123r001_1 0.39016999999999996 7.38 0.3472 0.892 0.35600000000000004 0.848 61
DP00123r001_2 0.38627 7.4 0.3322 0.85 0.4 0.77 61
DP00123r001_3 0.39058000000000004 7.37 0.3447 0.894 0.35100000000000003 0.868 61
DP00123r001_4 0.38563000000000003 7.33 0.3381 0.868 0.39299999999999996 0.823 61
DP00123r001_5 0.38606 7.18 0.3363 0.7879999999999999 0.37799999999999995 0.8490000000000001 61
DP00128r001_1 0.17573 7.41 0.203 0.0 0.385 0.602 251
DP00128r001_2 0.17629 7.41 0.204 0.0 0.43 0.622 251
DP00128r001_3 0.17281 7.43 0.2046 0.0 0.396 0.568 251
DP00128r001_4 0.16705 7.41 0.2027 0.0 0.419 0.544 251
DP00128r001_5 0.1295 7.33 0.1994 0.0 0.401 0.52 251
DP00132r006_1 0.58497 9.5 0.5922 0.88 0.598 0.45299999999999996 395
DP00132r006_2 0.58612 9.64 0.5849 0.852 0.58 0.40399999999999997 395
DP00132r006_3 0.5955 9.4 0.5876 0.848 0.59 0.447 395
DP00132r006_4 0.58777 9.39 0.5953 0.8859999999999999 0.607 0.47700000000000004 395
DP00132r006_5 0.58755 9.36 0.5963 0.835 0.602 0.439 395
DP00133r025_1 0.10015 3.92 0.8431 0.116 0.369 0.222 300
DP00133r025_2 0.09155 5.65 0.7991 0.119 0.36 0.218 300
DP00133r025_3 0.10417 3.54 0.8329 0.116 0.341 0.221 300
DP00133r025_4 0.1092 3.08 0.6626 0.108 0.34299999999999997 0.21100000000000002 300
DP00133r025_5 0.09875 3.88 0.6962 0.11 0.36700000000000005 0.20600000000000002 300
DP00134r001_1 0.18322 9.55 0.0231 0.774 0.392 0.37799999999999995 142
DP00134r001_2 0.19205 9.7 0.0235 0.7979999999999999 0.409 0.39799999999999996 142
DP00134r001_3 0.18400999999999998 9.17 0.0237 0.764 0.377 0.38 142
DP00134r001_4 0.19225 9.1 0.024 0.755 0.415 0.39899999999999997 142
DP00134r001_5 0.18819 9.94 0.0233 0.785 0.406 0.397 142
DP00136r008_1 0.7863600000000001 2.16 0.3474 0.97 0.52 0.628 89
DP00136r008_2 0.7820699999999999 2.13 0.3472 0.986 0.545 0.62 89
DP00136r008_3 0.78137 2.14 0.3459 0.982 0.5379999999999999 0.629 89
DP00136r008_4 0.78835 2.08 0.3475 0.984 0.532 0.624 89
DP00136r008_5 0.78379 2.13 0.3485 0.983 0.544 0.614 89
DP00138r010_1 0.88949 0.18 0.2224 0.0 0.28600000000000003 0.375 77
DP00138r010_2 0.88136 0.19 0.2195 0.0 0.33 0.355 77
DP00138r010_3 0.89802 0.17 0.2315 0.0 0.302 0.35100000000000003 77
DP00138r010_4 0.8905700000000001 0.18 0.2315 0.0 0.303 0.38799999999999996 77
DP00138r010_5 0.8694200000000001 0.2 0.2268 0.0 0.28600000000000003 0.37799999999999995 77
DP00140r001_1 0.73539 4.42 0.6965 0.8340000000000001 0.505 0.5429999999999999 85
DP00140r001_2 0.72248 4.5 0.7067 0.826 0.534 0.513 85
DP00140r001_3 0.72534 4.89 0.6968 0.838 0.541 0.557 85
DP00140r001_4 0.70755 6.03 0.7102 0.7979999999999999 0.532 0.586 85
DP00140r001_5 0.70906 5.44 0.7047 0.82 0.509 0.526 85
DP00141r001_1 0.67056 2.74 0.425 0.986 0.507 0.494 89
DP00141r001_2 0.66977 2.75 0.426 0.987 0.5529999999999999 0.502 89
DP00141r001_3 0.67366 2.73 0.431 0.985 0.511 0.5 89
DP00141r001_4 0.66415 2.76 0.4225 0.983 0.484 0.46799999999999997 89
DP00141r001_5 0.67304 2.7 0.4183 0.986 0.5579999999999999 0.519 89
DP00163r001_1 0.15528 28.23 0.117 0.573 0.506 0.354 265
DP00163r001_2 0.15492999999999998 31.29 0.1143 0.58 0.498 0.409 265
DP00163r001_3 0.15492999999999998 30.68 0.1173 0.62 0.489 0.39399999999999996 265
DP00163r001_4 0.15495 32.38 0.1142 0.556 0.501 0.41 265
DP00163r001_5 0.15528 30.68 0.1167 0.62 0.494 0.41 265
DP00164r001_1 0.75052 2.38 0.5418 0.996 0.425 0.43700000000000006 106
DP00164r001_2 0.75402 2.38 0.5442 0.996 0.43 0.44799999999999995 106
DP00164r001_3 0.74916 2.39 0.5387 0.995 0.441 0.45299999999999996 106
DP00164r001_4 0.7492 2.38 0.5325 0.993 0.415 0.46399999999999997 106
DP00164r001_5 0.75073 2.41 0.5447 0.994 0.41200000000000003 0.434 106
DP00173r001_1 0.82294 1.7 0.4578 0.975 0.513 0.449 116
DP00173r001_2 0.8210700000000001 1.72 0.4605 0.976 0.488 0.479 116
DP00173r001_3 0.81392 1.72 0.4501 0.956 0.502 0.528 116
DP00173r001_4 0.81981 1.71 0.4625 0.976 0.46799999999999997 0.485 116
DP00173r001_5 0.8214299999999999 1.78 0.4501 0.965 0.49200000000000005 0.48200000000000004 116
DP00174r001_1 0.48936 19.43 0.6798 0.764 0.415 0.48200000000000004 149
DP00174r001_2 0.48946000000000006 20.45 0.71 0.799 0.42 0.593 149
DP00174r001_3 0.48778 18.21 0.7116 0.8009999999999999 0.436 0.588 149
DP00174r001_4 0.48746000000000006 16.88 0.7058 0.8029999999999999 0.41200000000000003 0.601 149
DP00174r001_5 0.48363999999999996 17.74 0.6804 0.774 0.40399999999999997 0.534 149
DP00175r021_1 0.2776 17.57 0.5139 0.456 0.23399999999999999 0.311 130
DP00175r021_2 0.27985 16.22 0.5273 0.303 0.18100000000000002 0.304 130
DP00175r021_3 0.22548 17.7 0.4825 0.447 0.243 0.287 130
DP00175r021_4 0.27332 17.23 0.545 0.464 0.223 0.27899999999999997 130
DP00175r021_5 0.28157 15.19 0.5952 0.353 0.203 0.304 130
DP00179r001_1 0.7006899999999999 0.83 0.888 0.914 0.213 0.613 68
DP00179r001_2 0.66038 2.14 0.7793 0.858 0.21100000000000002 0.605 68
DP00179r001_3 0.7016100000000001 0.82 0.8826 0.913 0.2 0.59 68
DP00179r001_4 0.67164 2.15 0.7994 0.8490000000000001 0.201 0.602 68
DP00179r001_5 0.70203 0.85 0.8708 0.908 0.195 0.609 68
DP00184r001_1 0.48686 5.12 0.2806 0.8079999999999999 0.249 0.598 45
DP00184r001_2 0.48686 6.13 0.2664 0.8270000000000001 0.27699999999999997 0.556 45
DP00184r001_3 0.48932 6.56 0.2637 0.82 0.257 0.636 45
DP00184r001_4 0.48541999999999996 6.32 0.2523 0.825 0.23199999999999998 0.568 45
DP00184r001_5 0.48682 5.85 0.2731 0.826 0.25 0.5660000000000001 45
DP00184r004_1 0.64231 7.24 0.6966 0.7859999999999999 0.502 0.5529999999999999 110
DP00184r004_2 0.67969 4.0 0.7036 0.785 0.491 0.53 110
DP00184r004_3 0.64749 5.27 0.688 0.7240000000000001 0.495 0.544 110
DP00184r004_4 0.66779 4.11 0.6997 0.789 0.5 0.511 110
DP00184r004_5 0.6434300000000001 7.31 0.6954 0.7829999999999999 0.504 0.504 110
DP00186r001_1 0.33902 23.29 0.2071 0.985 0.485 0.6659999999999999 143
DP00186r001_2 0.33623000000000003 23.31 0.2087 0.988 0.436 0.7659999999999999 143
DP00186r001_3 0.34041 23.23 0.2114 0.99 0.441 0.632 143
DP00186r001_4 0.34041 23.26 0.21100000000000002 0.992 0.46299999999999997 0.7440000000000001 143
DP00186r001_5 0.34017 23.25 0.2062 0.987 0.423 0.489 143
DP00190r001_1 0.84183 2.22 0.65 0.974 0.602 0.562 173
DP00190r001_2 0.84025 2.29 0.6579999999999999 0.98 0.597 0.583 173
DP00190r001_3 0.8398399999999999 2.27 0.652 0.978 0.5870000000000001 0.565 173
DP00190r001_4 0.83834 2.31 0.6537 0.978 0.605 0.583 173
DP00190r001_5 0.8393299999999999 2.25 0.6494 0.973 0.59 0.55 173
DP00191r001_1 0.62078 3.21 0.3299 0.905 0.52 0.392 90
DP00191r001_2 0.62366 3.22 0.3327 0.908 0.506 0.37799999999999995 90
DP00191r001_3 0.64052 3.21 0.3351 0.905 0.52 0.419 90
DP00191r001_4 0.64295 3.13 0.3389 0.917 0.556 0.364 90
DP00191r001_5 0.6299899999999999 3.22 0.3244 0.922 0.499 0.392 90
DP00193r001_1 0.80545 4.03 0.2877 0.926 0.5489999999999999 0.42700000000000005 178
DP00193r001_2 0.80386 4.04 0.2868 0.915 0.564 0.444 178
DP00193r001_3 0.8042199999999999 4.05 0.2849 0.916 0.56 0.426 178
DP00193r001_4 0.8094399999999999 4.03 0.2831 0.913 0.537 0.426 178
DP00193r001_5 0.80352 4.09 0.2833 0.924 0.555 0.414 178
DP00196r001_1 0.22859000000000002 25.44 0.4971 0.535 0.313 0.41200000000000003 141
DP00196r001_2 0.22962 25.76 0.4979 0.5539999999999999 0.281 0.364 141
DP00196r001_3 0.2298 25.01 0.4841 0.501 0.32799999999999996 0.344 141
DP00196r001_4 0.21909 25.37 0.4827 0.5479999999999999 0.299 0.354 141
DP00196r001_5 0.22793000000000002 22.55 0.4814 0.36 0.257 0.386 141
DP00200r003_1 0.68989 2.67 0.6641 0.943 0.134 0.848 33
DP00200r003_2 0.7135600000000001 2.7 0.6975 0.955 0.149 0.904 33
DP00200r003_3 0.69714 2.71 0.684 0.946 0.149 0.805 33
DP00200r003_4 0.72073 2.55 0.6776 0.852 0.155 0.8340000000000001 33
DP00200r003_5 0.70925 2.64 0.6803 0.955 0.157 0.8859999999999999 33
DP00201r001_1 0.39049 21.01 0.631 0.96 0.419 0.524 76
DP00201r001_2 0.39136 20.97 0.6408 0.965 0.45 0.508 76
DP00201r001_3 0.39582 20.96 0.6513 0.951 0.406 0.542 76
DP00201r001_4 0.39608000000000004 20.77 0.6348 0.923 0.446 0.519 76
DP00201r001_5 0.38843 20.82 0.6446 0.951 0.45299999999999996 0.488 76
DP00205r001_1 0.9111299999999999 1.93 0.759 0.977 0.499 0.5720000000000001 117
DP00205r001_2 0.92238 1.6 0.7699 0.969 0.5329999999999999 0.574 117
DP00205r001_3 0.91141 1.97 0.7647 0.974 0.531 0.574 117
DP00205r001_4 0.9115200000000001 1.97 0.7705 0.977 0.547 0.608 117
DP00205r001_5 0.9216700000000001 1.63 0.768 0.971 0.537 0.5820000000000001 117
DP00207r007_1 0.14213 6.39 0.493 0.28 0.255 0.151 564
DP00207r007_2 0.16669 6.16 0.5028 0.29600000000000004 0.24100000000000002 0.17800000000000002 564
DP00207r007_3 0.12312999999999999 9.76 0.5699 0.0 0.215 0.161 564
DP00207r007_4 0.14454 7.2 0.4916 0.202 0.226 0.157 564
DP00207r007_5 0.13567 7.96 0.5337 0.14 0.247 0.17 564
DP00218r001_1 0.44451 15.21 0.6536 0.505 0.596 0.515 299
DP00218r001_2 0.44083999999999995 16.08 0.6399 0.565 0.591 0.495 299
DP00218r001_3 0.43308 14.04 0.6502 0.422 0.591 0.495 299
DP00218r001_4 0.43143000000000004 14.97 0.6626 0.413 0.609 0.522 299
DP00218r001_5 0.43966000000000005 15.81 0.6566 0.585 0.594 0.522 299
DP00222r001_1 0.14228 33.47 0.107 0.084 0.233 0.086 720
DP00222r001_2 0.25205 21.78 0.175 0.106 0.243 0.11900000000000001 720
DP00222r001_3 0.20543000000000003 25.86 0.1237 0.103 0.215 0.107 720
DP00222r001_4 0.22050999999999998 25.27 0.1594 0.103 0.267 0.1 720
DP00222r001_5 0.23109000000000002 21.53 0.1637 0.109 0.276 0.11199999999999999 720
DP00242r001_1 0.73916 3.39 0.7354 0.976 0.608 0.631 83
DP00242r001_2 0.73557 3.42 0.7366 0.973 0.597 0.627 83
DP00242r001_3 0.73537 3.45 0.7249 0.955 0.578 0.62 83
DP00242r001_4 0.73595 3.44 0.7363 0.976 0.585 0.603 83
DP00242r001_5 0.73287 3.38 0.7339 0.967 0.629 0.7040000000000001 83
DP00249r001_1 0.26663000000000003 14.32 0.287 0.985 0.6629999999999999 0.56 59
DP00249r001_2 0.26884 14.36 0.28600000000000003 0.986 0.669 0.615 59
