modelID seqlen tmalign RMSD proq4 pcons qmean DAN
DP00068r001_1 206 0.12838 7.19 0.426 0.0 0.491 0.541
DP00068r001_2 206 0.17675 7.46 0.433 0.0 0.483 0.5579999999999999
DP00068r001_3 206 0.15502 7.21 0.4320000000000001 0.0 0.508 0.506
DP00068r001_4 206 0.12713 7.49 0.426 0.0 0.47700000000000004 0.61
DP00068r001_5 206 0.17690999999999998 7.42 0.423 0.0 0.48 0.55
DP00070r001_1 140 0.1095 20.56 0.21600000000000005 0.941 0.368 0.462
DP00070r001_2 140 0.10934 20.51 0.227 0.925 0.34600000000000003 0.395
DP00070r001_3 140 0.10762999999999999 20.46 0.242 0.9179999999999999 0.348 0.337
DP00070r001_4 140 0.10916 20.58 0.215 0.9209999999999999 0.389 0.462
DP00070r001_5 140 0.10879000000000001 20.57 0.254 0.9329999999999999 0.364 0.44
DP00075r005_1 77 0.8318200000000001 2.08 0.438 0.9590000000000001 0.7490000000000001 0.836
DP00075r005_2 77 0.8365100000000001 1.76 0.449 0.953 0.7390000000000001 0.8220000000000001
DP00075r005_3 77 0.83304 1.88 0.417 0.9670000000000001 0.762 0.8240000000000001
DP00075r005_4 77 0.83983 1.84 0.43 0.9670000000000001 0.763 0.826
DP00075r005_5 77 0.8322799999999999 2.11 0.4370000000000001 0.953 0.7509999999999999 0.818
DP00076r002_1 48 0.28253 6.77 0.284 0.9670000000000001 0.539 0.486
DP00076r002_2 48 0.2907 6.8 0.284 0.965 0.586 0.5379999999999999
DP00076r002_3 48 0.28943 6.86 0.266 0.945 0.5920000000000001 0.535
DP00076r002_4 48 0.28626999999999997 6.83 0.275 0.963 0.573 0.514
DP00076r002_5 48 0.28715 6.87 0.258 0.9590000000000001 0.62 0.588
DP00081r001_1 67 0.25379 14.2 0.248 0.505 0.425 0.469
DP00081r001_2 67 0.23206 14.34 0.28800000000000003 0.657 0.45899999999999996 0.484
DP00081r001_3 67 0.23701 14.7 0.257 0.6559999999999999 0.47600000000000003 0.504
DP00081r001_4 67 0.23496999999999998 14.21 0.262 0.6609999999999999 0.408 0.502
DP00081r001_5 67 0.24600999999999998 14.42 0.255 0.6559999999999999 0.39 0.473
DP00082r001_1 98 0.25756 10.79 0.433 0.823 0.7346938776 0.382
DP00082r001_2 98 0.25066 10.33 0.45 0.8859999999999999 0.7551020408 0.392
DP00082r001_3 98 0.24916999999999997 10.43 0.423 0.885 0.7551020408 0.358
DP00082r001_4 98 0.25903000000000004 10.31 0.438 0.889 0.7346938776 0.368
DP00082r001_5 98 0.25511 10.31 0.442 0.8859999999999999 0.7551020408 0.368
DP00083r001_1 57 0.76517 2.59 0.344 0.943 0.677 0.93
DP00083r001_2 57 0.76012 2.61 0.358 0.955 0.711 0.953
DP00083r001_3 57 0.76039 2.63 0.34600000000000003 0.95 0.6779999999999999 0.913
DP00083r001_4 57 0.76463 2.52 0.377 0.9259999999999999 0.711 0.952
DP00083r001_5 57 0.66864 3.56 0.304 0.835 0.637 0.794
DP00084r006_1 58 0.2985 0.3 0.285 0.833 0.47 0.46
DP00084r006_2 58 0.29853 0.3 0.229 0.769 0.517 0.428
DP00084r006_3 58 0.29833000000000004 0.31 0.321 0.7929999999999999 0.578 0.494
DP00084r006_4 58 0.25851 0.84 0.259 0.7859999999999999 0.406 0.433
DP00084r006_5 58 0.21116 2.78 0.21600000000000005 0.721 0.475 0.411
DP00085r001_1 124 0.46501000000000003 9.26 0.4320000000000001 0.823 0.47 0.375
DP00085r001_2 124 0.45898 9.01 0.389 0.825 0.47700000000000004 0.363
DP00085r001_3 124 0.45903999999999995 8.88 0.368 0.79 0.489 0.378
DP00085r001_4 124 0.45997 9.06 0.389 0.785 0.478 0.365
DP00085r001_5 124 0.46188 10.19 0.418 0.7979999999999999 0.491 0.344
DP00086r009_1 74 0.5312600000000001 6.07 0.279 0.851 0.478 0.446
DP00086r009_2 74 0.51293 5.96 0.299 0.866 0.46 0.4
DP00086r009_3 74 0.52475 6.18 0.252 0.8220000000000001 0.5 0.445
DP00086r009_4 74 0.52227 5.96 0.279 0.851 0.4970000000000001 0.442
DP00086r009_5 74 0.52799 5.78 0.31 0.825 0.462 0.457
DP00086r015_1 93 0.27726999999999996 8.44 0.228 0.915 0.4920000000000001 0.441
DP00086r015_2 93 0.27482 8.39 0.238 0.8170000000000001 0.478 0.3720000000000001
DP00086r015_3 93 0.28546 8.35 0.22 0.904 0.45299999999999996 0.424
DP00086r015_4 93 0.27991 8.44 0.214 0.917 0.45399999999999996 0.41
DP00086r015_5 93 0.28189000000000003 8.4 0.219 0.92 0.488 0.414
DP00088r001_1 111 0.29484 11.87 0.311 0.7440000000000001 0.62 0.489
DP00088r001_2 111 0.29441 12.48 0.312 0.8370000000000001 0.625 0.406
DP00088r001_3 111 0.29536999999999997 12.18 0.315 0.855 0.632 0.435
DP00088r001_4 111 0.2949 12.43 0.317 0.816 0.6509999999999999 0.414
DP00088r001_5 111 0.29420999999999997 12.44 0.314 0.823 0.613 0.406
DP00088r003_1 51 0.5797 5.5 0.217 0.6779999999999999 0.522 0.552
DP00088r003_2 51 0.5575899999999999 9.14 0.227 0.73 0.473 0.578
DP00088r003_3 51 0.5543399999999999 6.94 0.231 0.716 0.509 0.602
DP00088r003_4 51 0.555 7.85 0.223 0.7070000000000001 0.504 0.591
DP00088r003_5 51 0.58175 5.52 0.21600000000000005 0.72 0.51 0.551
DP00091r001_1 84 0.17723 20.95 0.401 0.5670000000000001 0.515 0.531
DP00091r001_2 84 0.18678 19.99 0.397 0.618 0.475 0.457
DP00091r001_3 84 0.20373 19.35 0.396 0.596 0.5539999999999999 0.489
DP00091r001_4 84 0.17367 19.29 0.358 0.595 0.484 0.458
DP00091r001_5 84 0.18792999999999999 19.67 0.377 0.58 0.546 0.506
DP00091r003_1 85 0.42152 2.82 0.508 0.603 0.557 0.624
DP00091r003_2 85 0.42539 2.78 0.499 0.637 0.54 0.605
DP00091r003_3 85 0.42103 2.81 0.511 0.579 0.539 0.664
DP00091r003_4 85 0.42433000000000004 2.78 0.507 0.603 0.522 0.594
DP00091r003_5 85 0.42558 2.76 0.482 0.604 0.542 0.636
DP00094r001_1 71 0.2109 4.29 0.14 0.0 0.563 0.484
DP00094r001_2 71 0.37137 3.84 0.15 0.0 0.5920000000000001 0.552
DP00094r001_3 71 0.36491 3.87 0.145 0.0 0.6709999999999999 0.552
DP00094r001_4 71 0.22641999999999998 4.21 0.14400000000000002 0.0 0.638 0.642
DP00094r001_5 71 0.34236 3.93 0.14 0.0 0.626 0.53
DP00111r001_1 58 0.18053 12.43 0.159 0.272 0.306 0.359
DP00111r001_2 58 0.23019 10.53 0.134 0.29100000000000004 0.381 0.335
DP00111r001_3 58 0.1389 13.93 0.14 0.20199999999999999 0.37 0.35
DP00111r001_4 58 0.17489000000000002 13.5 0.134 0.34 0.335 0.39
DP00111r001_5 58 0.17528 13.99 0.131 0.33399999999999996 0.28600000000000003 0.407
DP00113r001_1 93 0.58143 4.29 0.284 0.91 0.731 0.728
DP00113r001_2 93 0.58344 3.8 0.268 0.9279999999999999 0.6829999999999999 0.7809999999999999
DP00113r001_3 93 0.5813 3.89 0.274 0.9259999999999999 0.7020000000000001 0.774
DP00113r001_4 93 0.5835899999999999 4.03 0.278 0.909 0.649 0.696
DP00113r001_5 93 0.5542699999999999 3.81 0.26 0.898 0.6659999999999999 0.644
DP00116r001_1 49 0.40284000000000003 5.47 0.247 0.6579999999999999 0.5379999999999999 0.513
DP00116r001_2 49 0.3985 5.31 0.24 0.659 0.5489999999999999 0.55
DP00116r001_3 49 0.47143 7.73 0.227 0.769 0.556 0.59
DP00116r001_4 49 0.46866 7.51 0.225 0.75 0.551 0.602
DP00116r001_5 49 0.47043 7.73 0.235 0.769 0.569 0.579
DP00123r001_1 61 0.39016999999999996 7.38 0.35600000000000004 0.892 0.586 0.848
DP00123r001_2 61 0.38627 7.4 0.4 0.85 0.583 0.77
DP00123r001_3 61 0.39058000000000004 7.37 0.35100000000000003 0.894 0.6 0.868
DP00123r001_4 61 0.38563000000000003 7.33 0.393 0.868 0.569 0.823
DP00123r001_5 61 0.38606 7.18 0.378 0.7879999999999999 0.6 0.8490000000000001
DP00128r001_1 251 0.17614000000000002 7.44 0.385 0.0 0.561 0.602
DP00128r001_2 251 0.17521 7.42 0.43 0.0 0.591 0.622
DP00128r001_3 251 0.17462 7.44 0.396 0.0 0.555 0.568
DP00128r001_4 251 0.17437 7.45 0.419 0.0 0.5710000000000001 0.544
DP00128r001_5 251 0.17631 7.46 0.401 0.0 0.58 0.52
DP00132r006_1 395 0.58497 9.5 0.598 0.88 0.599 0.453
DP00132r006_2 395 0.58612 9.64 0.58 0.852 0.5920000000000001 0.404
DP00132r006_3 395 0.5955 9.4 0.59 0.848 0.5870000000000001 0.447
DP00132r006_4 395 0.58777 9.39 0.607 0.8859999999999999 0.61 0.477
DP00132r006_5 395 0.58755 9.36 0.602 0.835 0.601 0.439
DP00133r025_1 300 0.10015 3.92 0.369 0.11599999999999999 0.479 0.222
DP00133r025_2 300 0.09155 5.65 0.36 0.11900000000000001 0.485 0.218
DP00133r025_3 300 0.10417 3.54 0.341 0.11599999999999999 0.519 0.221
DP00133r025_4 300 0.1092 3.08 0.343 0.10800000000000001 0.466 0.211
DP00133r025_5 300 0.09875 3.88 0.3670000000000001 0.11 0.447 0.206
DP00134r001_1 142 0.09851 9.55 0.392 0.774 0.41600000000000004 0.378
DP00134r001_2 142 0.09937 9.7 0.409 0.7979999999999999 0.493 0.398
DP00134r001_3 142 0.09698 9.17 0.377 0.764 0.442 0.38
DP00134r001_4 142 0.09738 9.1 0.415 0.755 0.473 0.399
DP00134r001_5 142 0.0985 9.94 0.406 0.785 0.55 0.397
DP00136r008_1 89 0.80419 2.0 0.52 0.97 0.611 0.628
DP00136r008_2 89 0.7983100000000001 1.96 0.545 0.986 0.613 0.62
DP00136r008_3 89 0.79779 1.97 0.5379999999999999 0.982 0.616 0.629
DP00136r008_4 89 0.8047300000000001 1.91 0.532 0.9840000000000001 0.613 0.624
DP00136r008_5 89 0.7996800000000001 1.96 0.544 0.983 0.622 0.614
DP00138r010_1 77 0.5435800000000001 0.18 0.28600000000000003 0.0 0.469 0.375
DP00138r010_2 77 0.53861 0.19 0.33 0.0 0.43799999999999994 0.355
DP00138r010_3 77 0.54879 0.17 0.302 0.0 0.424 0.35100000000000003
DP00138r010_4 77 0.54424 0.18 0.303 0.0 0.47600000000000003 0.388
DP00138r010_5 77 0.53132 0.2 0.28600000000000003 0.0 0.451 0.378
DP00140r001_1 85 0.73539 4.42 0.505 0.8340000000000001 0.5710000000000001 0.5429999999999999
DP00140r001_2 85 0.72248 4.5 0.534 0.826 0.557 0.513
DP00140r001_3 85 0.72534 4.89 0.541 0.838 0.579 0.557
DP00140r001_4 85 0.70755 6.03 0.532 0.7979999999999999 0.5760000000000001 0.586
DP00140r001_5 85 0.70906 5.44 0.509 0.82 0.556 0.526
DP00141r001_1 89 0.62095 2.71 0.507 0.986 0.552 0.494
DP00141r001_2 89 0.61933 2.71 0.5529999999999999 0.987 0.5329999999999999 0.502
DP00141r001_3 89 0.62311 2.7 0.511 0.985 0.534 0.5
DP00141r001_4 89 0.61474 2.73 0.484 0.983 0.529 0.468
DP00141r001_5 89 0.62237 2.66 0.5579999999999999 0.986 0.57 0.519
DP00163r001_1 265 0.16162 28.26 0.506 0.573 0.501 0.354
DP00163r001_2 265 0.16158 31.32 0.498 0.58 0.535 0.409
DP00163r001_3 265 0.16132 30.7 0.489 0.62 0.528 0.394
DP00163r001_4 265 0.1612 32.39 0.501 0.556 0.5760000000000001 0.41
DP00163r001_5 265 0.16151 30.7 0.494 0.62 0.51 0.41
DP00164r001_1 106 0.75052 2.38 0.425 0.996 0.485 0.4370000000000001
DP00164r001_2 106 0.75402 2.38 0.43 0.996 0.504 0.448
DP00164r001_3 106 0.74916 2.39 0.441 0.995 0.494 0.453
DP00164r001_4 106 0.7492 2.38 0.415 0.993 0.529 0.464
DP00164r001_5 106 0.75073 2.41 0.412 0.9940000000000001 0.494 0.434
DP00173r001_1 116 0.82294 1.7 0.513 0.975 0.6379310345 0.449
DP00173r001_2 116 0.8210700000000001 1.72 0.488 0.976 0.6637931034000001 0.479
DP00173r001_3 116 0.81392 1.72 0.502 0.956 0.6465517241000001 0.528
DP00173r001_4 116 0.81981 1.71 0.468 0.976 0.6637931034000001 0.485
DP00173r001_5 116 0.8214299999999999 1.78 0.4920000000000001 0.965 0.6724137931 0.482
DP00174r001_1 149 0.48936 19.43 0.415 0.764 0.664 0.482
DP00174r001_2 149 0.48946000000000006 20.45 0.42 0.799 0.67 0.593
DP00174r001_3 149 0.48778 18.21 0.436 0.8009999999999999 0.6940000000000001 0.588
DP00174r001_4 149 0.48746000000000006 16.88 0.412 0.8029999999999999 0.7070000000000001 0.601
DP00174r001_5 149 0.48363999999999996 17.74 0.404 0.774 0.643 0.534
DP00175r021_1 130 0.2776 17.57 0.234 0.456 0.5923076923 0.311
DP00175r021_2 130 0.27985 16.22 0.181 0.303 0.6384615385 0.304
DP00175r021_3 130 0.22548 17.7 0.243 0.447 0.6615384615000001 0.287
DP00175r021_4 130 0.27332 17.23 0.223 0.46399999999999997 0.6615384615000001 0.279
DP00175r021_5 130 0.28157 15.19 0.203 0.353 0.6000000000000001 0.304
DP00179r001_1 68 0.7006899999999999 0.83 0.213 0.914 0.695 0.613
DP00179r001_2 68 0.66038 2.14 0.211 0.858 0.617 0.605
DP00179r001_3 68 0.7016100000000001 0.82 0.2 0.9129999999999999 0.639 0.59
DP00179r001_4 68 0.67164 2.15 0.201 0.8490000000000001 0.5529999999999999 0.602
DP00179r001_5 68 0.70203 0.85 0.195 0.9079999999999999 0.625 0.609
DP00184r001_1 45 0.48686 5.12 0.249 0.8079999999999999 0.7777777778 0.598
DP00184r001_2 45 0.48686 6.13 0.277 0.8270000000000001 0.7777777778 0.556
DP00184r001_3 45 0.48932 6.56 0.257 0.82 0.7777777778 0.636
DP00184r001_4 45 0.48541999999999996 6.32 0.232 0.825 0.8 0.568
DP00184r001_5 45 0.48682 5.85 0.25 0.826 0.7777777778 0.5660000000000001
DP00184r004_1 110 0.64231 7.24 0.502 0.7859999999999999 0.6759999999999999 0.5529999999999999
DP00184r004_2 110 0.67969 4.0 0.491 0.785 0.691 0.53
DP00184r004_3 110 0.64749 5.27 0.495 0.7240000000000001 0.655 0.544
DP00184r004_4 110 0.66779 4.11 0.5 0.789 0.6629999999999999 0.511
DP00184r004_5 110 0.6434300000000001 7.31 0.504 0.7829999999999999 0.711 0.504
DP00186r001_1 143 0.30465 23.29 0.485 0.985 0.64 0.6659999999999999
DP00186r001_2 143 0.30251 23.31 0.436 0.988 0.574 0.7659999999999999
DP00186r001_3 143 0.30567 23.23 0.441 0.99 0.654 0.632
DP00186r001_4 143 0.30564 23.26 0.463 0.992 0.698 0.7440000000000001
DP00186r001_5 143 0.30541 23.25 0.423 0.987 0.5660000000000001 0.489
DP00190r001_1 173 0.84183 2.22 0.602 0.9740000000000001 0.6409999999999999 0.562
DP00190r001_2 173 0.84025 2.29 0.597 0.98 0.642 0.583
DP00190r001_3 173 0.8398399999999999 2.27 0.5870000000000001 0.978 0.635 0.565
DP00190r001_4 173 0.83834 2.31 0.605 0.978 0.634 0.583
DP00190r001_5 173 0.8393299999999999 2.25 0.59 0.973 0.636 0.55
DP00191r001_1 90 0.62078 3.21 0.52 0.905 0.525 0.392
DP00191r001_2 90 0.62366 3.22 0.506 0.9079999999999999 0.504 0.378
DP00191r001_3 90 0.64052 3.21 0.52 0.905 0.562 0.419
DP00191r001_4 90 0.64295 3.13 0.556 0.917 0.5660000000000001 0.364
DP00191r001_5 90 0.6299899999999999 3.22 0.499 0.922 0.5589999999999999 0.392
DP00193r001_1 178 0.81323 3.97 0.5489999999999999 0.9259999999999999 0.562 0.4270000000000001
DP00193r001_2 178 0.81117 3.98 0.564 0.915 0.585 0.444
DP00193r001_3 178 0.81199 4.0 0.56 0.9159999999999999 0.57 0.426
DP00193r001_4 178 0.81696 3.97 0.537 0.9129999999999999 0.561 0.426
DP00193r001_5 178 0.81101 4.04 0.555 0.924 0.556 0.414
DP00196r001_1 141 0.22859000000000002 25.44 0.313 0.535 0.40700000000000003 0.412
DP00196r001_2 141 0.22962 25.76 0.281 0.5539999999999999 0.42 0.364
DP00196r001_3 141 0.2298 25.01 0.328 0.501 0.38799999999999996 0.344
DP00196r001_4 141 0.21909 25.37 0.299 0.5479999999999999 0.39399999999999996 0.354
DP00196r001_5 141 0.22793000000000002 22.55 0.257 0.36 0.4270000000000001 0.386
DP00200r003_1 33 0.67766 2.67 0.134 0.943 0.40399999999999997 0.848
DP00200r003_2 33 0.69977 2.7 0.149 0.955 0.451 0.904
DP00200r003_3 33 0.6842199999999999 2.71 0.149 0.946 0.324 0.805
DP00200r003_4 33 0.70723 2.55 0.155 0.852 0.475 0.8340000000000001
DP00200r003_5 33 0.69603 2.64 0.157 0.955 0.428 0.8859999999999999
DP00201r001_1 76 0.39049 21.01 0.419 0.96 0.608 0.524
DP00201r001_2 76 0.39136 20.97 0.45 0.965 0.612 0.508
DP00201r001_3 76 0.39582 20.96 0.406 0.951 0.603 0.542
DP00201r001_4 76 0.39608000000000004 20.77 0.446 0.9229999999999999 0.622 0.519
DP00201r001_5 76 0.38843 20.82 0.453 0.951 0.619 0.488
DP00205r001_1 117 0.9111299999999999 1.93 0.499 0.977 0.66 0.5720000000000001
DP00205r001_2 117 0.92238 1.6 0.5329999999999999 0.9690000000000001 0.728 0.574
DP00205r001_3 117 0.91141 1.97 0.531 0.9740000000000001 0.741 0.574
DP00205r001_4 117 0.9115200000000001 1.97 0.547 0.977 0.7390000000000001 0.608
DP00205r001_5 117 0.9216700000000001 1.63 0.537 0.971 0.737 0.5820000000000001
DP00207r007_1 564 0.14213 6.39 0.255 0.28 0.33299999999999996 0.151
DP00207r007_2 564 0.16669 6.16 0.241 0.29600000000000004 0.396 0.17800000000000002
DP00207r007_3 564 0.12312999999999999 9.76 0.215 0.0 0.405 0.161
DP00207r007_4 564 0.14454 7.2 0.226 0.20199999999999999 0.251 0.157
DP00207r007_5 564 0.13567 7.96 0.247 0.14 0.41200000000000003 0.17
DP00218r001_1 299 0.44451 15.21 0.596 0.505 0.633 0.515
DP00218r001_2 299 0.44083999999999995 16.08 0.591 0.565 0.604 0.495
DP00218r001_3 299 0.43308 14.04 0.591 0.42200000000000004 0.6629999999999999 0.495
DP00218r001_4 299 0.43143000000000004 14.97 0.609 0.413 0.652 0.522
DP00218r001_5 299 0.43966000000000005 15.81 0.594 0.585 0.595 0.522
DP00222r001_1 720 0.14037 33.48 0.233 0.084 0.10800000000000001 0.086
DP00222r001_2 720 0.25156 21.79 0.243 0.106 0.265 0.119
DP00222r001_3 720 0.2063 25.88 0.215 0.10300000000000001 0.225 0.107
DP00222r001_4 720 0.22063000000000002 25.29 0.267 0.10300000000000001 0.076 0.1
DP00222r001_5 720 0.23019 21.55 0.276 0.109 0.09699999999999999 0.112
DP00242r001_1 83 0.73916 3.39 0.608 0.976 0.715 0.631
DP00242r001_2 83 0.73557 3.42 0.597 0.973 0.6940000000000001 0.627
DP00242r001_3 83 0.73537 3.45 0.578 0.955 0.655 0.62
DP00242r001_4 83 0.73595 3.44 0.585 0.976 0.716 0.603
DP00242r001_5 83 0.73287 3.38 0.629 0.9670000000000001 0.71 0.7040000000000001
DP00249r001_1 59 0.26663000000000003 14.32 0.6629999999999999 0.985 0.68 0.56
DP00249r001_2 59 0.26884 14.36 0.669 0.986 0.703 0.615
